店舗名,郵便番号,住所,電話番号,FAX番号,ホームページURL,メールアドレス,座席数,個室情報
"はんなり 梅田店","530-0057","大阪府大阪市北区曽根崎2-10-15 曽根崎センタービル4F","06-6351-4503","","","","40席","テーブル個室あり（3室/5名～30名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 平八","530-0003","大阪府大阪市北区堂島1-3-14 堂島平八ビル2F","06-6343-2711","","http://www.hirahachi.jp/","","38席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（5名～8名様用） 掘りごたつ個室あり（4名～6名様用） 掘りごたつ個室あり（7名～12名様用） ※個室の詳細はお店にお問い合わせください"
"個室 de ごはん ゆめゆめ","530-0002","大阪府大阪市北区曽根崎新地1-5-4 新陽第一ビル1F","050-5518-7199","","","","28席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（8名様用） テーブル個室あり（6名様用） テーブル個室あり（4名様用） テーブル個室あり（4名様用） テーブル個室あり（4名～22名様用） ※個室の詳細はお店にお問い合わせください"
"道頓堀 今井 リーガロイヤルホテル店","530-0005","大阪府大阪市北区中之島5-3-68 リーガロイヤルホテルB1","050-5787-6485","","http://www.d-imai.com/","","36席",""
"大喜","530-0003","大阪府大阪市北区堂島1-2-32 トヨタビル2F","06-6347-7758","","","","20席 掘りごたつ席あり",""
"焼肉・しゃぶしゃぶ 福笑 福島","553-0003","大阪府大阪市福島区福島5-11-2","050-5787-0237","","http://www.fuku-warai.jp/","","72席 座敷席あり","掘りごたつ個室あり（2名～6名様用） 掘りごたつ個室あり（2名～8名様用） ※個室の詳細はお店にお問い合わせください"
"器楽Dining &pi;","530-0003","大阪府大阪市北区堂島1-5-5 エスパス北新地25 2F","050-5789-2044","","","","11席 カウンター席あり",""
"和魂","553-0003","大阪府大阪市福島区福島7-2-2","06-4797-2575","","","","30席 座敷席あり 掘りごたつ席あり",""
"焼鳥・もも焼き 大山 ヨドバシ梅田店","530-0011","大阪府大阪市北区大深町1-1 ヨドバシ梅田ビル8F","050-5789-6137","06-6100-2721","http://www.d-diner.net/","info@d-diner.net","52席 カウンター席あり ソファー席あり 夜景が見える",""
"あぶりやき まるちゃん","530-0002","大阪府大阪市北区曽根崎新地1-11-5","050-5797-3641","","","","36席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（7名～10名様用） 掘りごたつ個室あり（16名～20名様用） ※個室の詳細はお店にお問い合わせください"
"赤から 大阪福島店","553-0003","大阪府大阪市福島区福島5-9-11","06-6450-1755","","","","73席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（6名～10名様用） 座敷個室あり（6名～10名様用） 座敷個室あり（6名～10名様用） ※個室の詳細はお店にお問い合わせください"
"横綱 名古屋場所 梅田東通り店","530-0027","大阪府大阪市北区堂山町3-15 レジャービルロイヤル1F","050-5788-1894","","","","88席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（3室/4名～28名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"炭火焼鳥専門店 播鳥 西梅田店","530-0000","大阪府大阪市北区梅田2-4-43","050-5799-5917","","http://banchou.co.jp/","","46席 掘りごたつ席あり カウンター席あり テラス・屋外席あり",""
"都美","530-0003","大阪府大阪市北区堂島1-4-7 堂浜アネックスビル4F","06-6343-5280","","","","17席","テーブル半個室あり（2名～3名様用） ※個室の詳細はお店にお問い合わせください"
"菖蒲","530-0002","大阪府大阪市北区曽根崎新地1-5-7 梅ばちビル2F","06-6345-7899","","","","15席",""
"きんくら酒場 金の蔵 梅田東通り店","530-0027","大阪府大阪市北区堂山町17-21 敬相ビル1F","050-5785-7961","","","","94席","テーブル個室あり（1室/25名～40名様用/パーティション仕切り） テーブル個室あり（1室/7名～8名様用/扉・壁あり） テーブル個室あり（2室/5名～6名様用/パーティション仕切り） テーブル個室あり（8室/2名～4名様用/パーティション仕切り） テーブル個室あり（7室/2名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"もつ鍋と創作料理のお店 なごみ家 北新地店","530-0002","大阪府大阪市北区曽根崎新地1-7-5 ハロルビルB1","06-6345-0331","","","","",""
"鉄板焼・ホルモン鍋 なす","553-0003","大阪府大阪市福島区福島1-6-4","06-6131-4089","","","","",""
"道頓堀あかい 北店","530-0003","大阪府大阪市北区堂島1-3-33","06-6347-1775","","","","座椅子あり カウンター席あり",""
"てんり．","530-0003","大阪府大阪市北区堂島1-3-8 堂島リンデンビル3F","06-6442-0044","","","","掘りごたつ席あり",""
"居酒屋よしざいる","553-0007","大阪府大阪市福島区大開3-2-27","06-6465-4320","","","","カウンター席あり",""
"炭火焼鳥はれるや","553-0003","大阪府大阪市福島区福島8-18-4 メゾンド日西1F","06-6344-6820","","","","座敷席あり 座椅子あり カウンター席あり",""
"鶏好家","530-0001","大阪府大阪市北区梅田1-2 大阪駅前第2ビルB2","06-6346-5005","","","","カウンター席あり",""
"居酒屋 とも吉","531-0072","大阪府大阪市北区豊崎4-2-16 第2メゾン北梅田1F","06-6371-1299","","","","座椅子あり カウンター席あり",""
"讃岐うどん 今雪","530-0026","大阪府大阪市北区神山町3-10 清覚ビル1F","06-6316-0826","","","","座敷席あり",""
"とり焼 かん美","530-0003","大阪府大阪市北区堂島3-2-21 伊藤ビル1F","06-6343-8338","","","","座敷席あり カウンター席あり カップルシートあり","テーブル個室あり（1室/6名様用/扉・壁あり） テーブル個室あり（1室/2名様用/カーテン仕切り） 座敷個室あり（1室/3名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"和味創采 とりで","530-0001","大阪府大阪市北区梅田2-4-43 浪漫倶楽部3F","06-6341-7755","","","","座敷席あり","座敷個室あり（4名～8名様用） 座敷個室あり（4名～16名様用） ※個室の詳細はお店にお問い合わせください"
"福屋 梅田店","530-0057","大阪府大阪市北区曽根崎2-14-5","06-4709-5354","","","","座敷席あり",""
"アグー総本店小野","530-0003","大阪府大阪市北区堂島1-3-23 日宝北新地ビル1階","06-6346-6636","","","","",""
"楽","553-0003","大阪府大阪市福島区福島5-13-7","06-6451-3187","","","","座敷席あり カウンター席あり",""
"やまがそば","553-0001","大阪府大阪市福島区海老江7-6-12","06-6458-8546","","","","座敷席あり カウンター席あり",""
"にこみや大山","553-0004","大阪府大阪市福島区玉川4-12-8 オモテビル1F","06-6446-6688","","","","掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～36名様用） ※個室の詳細はお店にお問い合わせください"
"もつ鍋バール　二代目よしざいる","531-0076","大阪府大阪市北区大淀中1-17-7","06-7173-8780","","","","掘りごたつ席あり カウンター席あり ソファー席あり テラス・屋外席あり","掘りごたつ個室あり（2室/2名～22名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ温野菜 福島駅前店","553-0003","大阪府大阪市福島区福島5-8-14 福島吉紹ビル2F","06-6451-8338","","","","",""
"たつみ","553-0006","大阪府大阪市福島区吉野5-8-27","06-6462-7851","","","","",""
"國乃家","530-0057","大阪府大阪市北区曽根崎1-6-4","06-6312-0126","","","","",""
"あつむら","530-0012","大阪府大阪市北区芝田2-3-16","06-6359-3431","","","","",""
"讃岐うどん しゃぶしゃぶ 粂屋","530-0001","大阪府大阪市北区梅田3-1-1 大丸梅田14F","06-6347-1577","","","","",""
"もつ鍋専門店 中も津屋 本店","531-0072","大阪府大阪市北区豊崎5-7-11 アベニュー中津1F","06-6373-0330","","","","",""
"賀茂姫","553-0003","大阪府大阪市福島区福島5-6-3","06-6452-5317","","","","",""
"池田銀なべ・北新地","530-0002","大阪府大阪市北区曽根崎新地1-2-13 北新地タムラビル2F","06-6343-2728","","","","",""
"しゃぶ亭 阪急かっぱ横丁店","530-0012","大阪府大阪市北区芝田1-7-2","06-6373-0739","","","","",""
"ふくみ屋 福島別館","553-0003","大阪府大阪市福島区福島8-14-12","06-6455-8088","","","","",""
"もつ鍋 チャンピオン","553-0003","大阪府大阪市福島区福島7-8-6","06-6450-1083","","","","",""
"もつ鍋 やまや エキマルシェ大阪店","530-0001","大阪府大阪市北区梅田3-1-1 エキマルシェ大阪","06-4797-0808","","","","",""
"博多 もつ鍋 やまや 梅田店","530-0017","大阪府大阪市北区角田町5-1 梅田楽天地ビル1F","06-6316-0888","","","","",""
"しゃぶはうす","530-0002","大阪府大阪市北区曽根崎新地1-2-30 新三ツ輪ビル　1F","06-6345-0106","","","","",""
"北新地 しゃぶ亭","530-0002","大阪府大阪市北区曽根崎新地1-8-8 1F","06-6346-2275","","","","",""
"あんじゅう","530-0016","大阪府大阪市北区中崎3-2-25","06-6359-2137","","","","座敷席あり",""
"韓国料理ボウン","553-0006","大阪府大阪市福島区吉野3-21-17","06-6461-5309","","","","",""
"しゃぶしゃぶ ぐるまん","530-0017","大阪府大阪市北区角田町梅田地下街2-3","06-6312-9353","","","","",""
"大阪 野田 草鍋 えんや","553-0005","大阪府大阪市福島区野田3-15-10 KAITOビル1F","06-6462-4007","","","","",""
"ホルモン鍋やまちゃん","530-0051","大阪府大阪市北区太融寺町3-33","06-6315-4129","","","","",""
"神谷","530-0003","大阪府大阪市北区堂島1-3-4","06-6344-0129","","","","",""
"じゃこう","553-0006","大阪府大阪市福島区吉野2-14-16 2F","06-6441-1687","","","","",""
"しゃぶしゃぶ new KOBE 堂島店","530-0002","大阪府大阪市北区曽根崎新地1 堂島地下センター4号","06-6344-7680","","","","",""
"もつ鍋 蟻月 堂島店","530-0002","大阪府大阪市北区曽根崎新地2-5-34","06-6348-2211","","","","",""
"アジアン居酒屋 NARI屋～ナリヤ～","530-0057","大阪府大阪市北区曽根崎2-5-38","06-7506-1851","","","","",""
"つばき","530-0003","大阪府大阪市北区堂島1-3-28","06-6341-3343","","","","",""
"はま","531-0076","大阪府大阪市北区大淀中1-17-7","06-6455-6807","","","","",""
"にいたか","531-0076","大阪府大阪市北区大淀中1-1-90 梅田スカイビル　B1F","06-6440-5912","","","","",""
"中央電気倶楽部 えれき亭","530-0004","大阪府大阪市北区堂島浜2-1-25 中央電気倶楽部B1F","06-6345-6351","","","","",""
"東","530-0003","大阪府大阪市北区堂島1-2-25","06-6345-2777","","","","",""
"焼鍋 孫家","530-0002","大阪府大阪市北区曽根崎新地1-2-24 ニューウメダビル3F","06-6442-8011","","","","",""
